id,case,group,repeat,arm,first_ok,final_ok,repairs,first_named,first_raw_named,first_code_parsed,first_executed_named,any_named,any_raw_named,any_executed_named,wall_s,model_wall_s,api_s,engine_ms,first_output_tokens,first_wall_s,first_input_total,reported_cost_usd,first_code_chars,final_verdict,output_tokens,thinking_tokens,input_total,input_new,input_cache_create,input_cache_read,nonthinking_output_tokens
direct_context_0_hidden,direct_context,direct,0,hidden,False,False,1,False,False,True,False,False,False,False,157.20409700000002,156.35810100000003,150.32,572.178,6869,103.102191,62962,0.3895,1068,"요구한 본문·행·보존 조건과 결과가 다릅니다. locations.json은 파일·줄번호 열이 있는 위치 목록이다. 목록 순서대로 세 위치에서 각각 지정 줄부터 5줄씩 본문을 읽어 줘. 파일·줄번호·본문을 반환하고, 없는 파일은 해당 위치와 오류를 남겨 줘. 한 곳이 없어도 나머지는 읽어야 한다.",10689,9505,130457,4,6003,124450,1184
direct_context_1_exposed,direct_context,direct,1,exposed,True,True,0,True,True,True,True,True,True,True,14.544576,14.138157999999999,12.131,278.44,938,14.138157999999999,64993,0.0629475,125,품질 기준 통과,938,825,64993,2,736,64255,113
direct_context_1_hidden,direct_context,direct,1,hidden,False,False,1,False,False,True,False,False,False,False,189.549891,188.72551700000002,184.434,566.482,10681,160.20631400000002,62966,0.44184500000000004,644,"요구한 본문·행·보존 조건과 결과가 다릅니다. locations.json은 파일·줄번호 열이 있는 위치 목록이다. 목록 순서대로 세 위치에서 각각 지정 줄부터 5줄씩 본문을 읽어 줘. 파일·줄번호·본문을 반환하고, 없는 파일은 해당 위치와 오류를 남겨 줘. 한 곳이 없어도 나머지는 읽어야 한다.",12704,11859,130654,4,6200,124450,845
direct_context_2_exposed,direct_context,direct,2,exposed,True,True,0,True,True,True,True,True,True,True,8.940325000000001,8.534816000000001,6.355,280.151,409,8.534816000000001,64986,0.0496525,76,품질 기준 통과,409,341,64986,2,729,64255,68
direct_context_2_hidden,direct_context,direct,2,hidden,False,False,1,False,False,True,False,False,False,False,172.825616,172.001859,167.635,573.434,8694,133.726988,62964,0.409675,741,"요구한 본문·행·보존 조건과 결과가 다릅니다. locations.json은 파일·줄번호 열이 있는 위치 목록이다. 목록 순서대로 세 위치에서 각각 지정 줄부터 5줄씩 본문을 읽어 줘. 파일·줄번호·본문을 반환하고, 없는 파일은 해당 위치와 오류를 남겨 줘. 한 곳이 없어도 나머지는 읽어야 한다.",11496,10392,130457,4,6003,124450,1104
direct_latest_0_exposed,direct_latest,direct,0,exposed,True,True,0,True,True,True,True,True,True,True,8.620449,8.22236,6.155,271.687,360,8.22236,64953,0.04809750000000001,64,품질 기준 통과,360,288,64953,2,696,64255,72
direct_latest_0_hidden,direct_latest,direct,0,hidden,True,True,0,False,False,True,False,False,False,False,38.193599999999996,37.794868,35.806,275.544,2966,37.794868,62919,0.11219249999999999,368,품질 기준 통과,2966,2728,62919,2,692,62225,238
direct_latest_1_exposed,direct_latest,direct,1,exposed,True,True,0,True,True,True,True,True,True,True,5.617538,5.225182,3.17,269.631,150,5.225182,64954,0.04285750000000001,54,품질 기준 통과,150,88,64954,2,697,64255,62
direct_latest_1_hidden,direct_latest,direct,1,hidden,False,False,1,False,False,True,False,False,False,False,136.705725,135.884394,130.128,575.0060000000001,1862,28.091720000000002,62928,0.381115,635,"요구한 본문·행·보존 조건과 결과가 다릅니다. drafts/*.md의 문서 중 가장 최근에 수정된 문서에서 11~22줄 본문을 반환해 줘. 파일명의 날짜가 아니라 수정시각 기준이다. 후보는 4개, 수정시각 동률은 없고 모두 80줄이다.",10392,8804,130361,4,5907,124450,1588
direct_latest_2_exposed,direct_latest,direct,2,exposed,True,True,0,True,True,True,True,True,True,True,6.084468,5.661545,3.536,283.585,162,5.661545,64955,0.043167500000000004,54,품질 기준 통과,162,100,64955,2,698,64255,62
direct_latest_2_hidden,direct_latest,direct,2,hidden,False,False,1,False,False,True,False,False,False,False,52.709852,52.158417,47.719,289.62,2189,28.069677,62928,0.1776,520,"요구한 본문·행·보존 조건과 결과가 다릅니다. drafts/*.md의 문서 중 가장 최근에 수정된 문서에서 11~22줄 본문을 반환해 줘. 파일명의 날짜가 아니라 수정시각 기준이다. 후보는 4개, 수정시각 동률은 없고 모두 80줄이다.",3837,3115,126397,4,1943,124450,722
direct_ledger_0_exposed,direct_ledger,direct,0,exposed,True,True,0,True,True,True,True,True,True,True,8.070216,7.668584,5.764,279.231,424,7.668584,64996,0.050127500000000005,239,품질 기준 통과,424,255,64996,2,739,64255,169
direct_ledger_0_hidden,direct_ledger,direct,0,hidden,True,True,0,False,False,True,False,False,False,False,56.498294,56.096349000000004,54.115,279.229,3930,56.096349000000004,62966,0.1367625,293,품질 기준 통과,3930,3748,62966,2,739,62225,182
direct_ledger_1_exposed,direct_ledger,direct,1,exposed,True,True,0,True,True,True,True,True,True,True,9.049610000000001,8.646595999999999,6.281,276.187,433,8.646595999999999,64992,0.0503125,242,품질 기준 통과,433,260,64992,2,735,64255,173
direct_ledger_1_hidden,direct_ledger,direct,1,hidden,True,True,0,False,False,True,False,False,False,False,70.97407000000001,70.570069,68.527,282.257,5156,70.570069,62961,0.16736250000000003,373,품질 기준 통과,5156,4920,62961,2,734,62225,236
direct_ledger_2_exposed,direct_ledger,direct,2,exposed,True,True,0,True,True,True,True,True,True,True,9.265923,8.860048,6.873,283.344,468,8.860048,64987,0.0511375,161,품질 기준 통과,468,341,64987,2,730,64255,127
direct_ledger_2_hidden,direct_ledger,direct,2,hidden,True,True,0,False,False,True,False,False,False,False,139.653571,139.254491,136.915,276.311,9717,139.254491,62962,0.2813975,299,품질 기준 통과,9717,9538,62962,2,735,62225,179
embedded_context_0_exposed,embedded_context,embedded,0,exposed,True,True,0,True,True,True,True,True,True,True,26.920666,26.516219,24.35,277.467,1984,26.516219,65100,0.09016750000000001,466,품질 기준 통과,1984,1680,65100,2,843,64255,304
embedded_context_0_hidden,embedded_context,embedded,0,hidden,False,True,1,False,False,True,False,False,False,False,108.481117,107.677253,103.777,560.779,5214,68.861336,63062,0.328935,917,품질 기준 통과,8178,6913,130678,4,6224,124450,1265
embedded_context_1_exposed,embedded_context,embedded,1,exposed,True,True,0,True,True,True,True,True,True,True,35.079249000000004,34.662602,32.755,288.315,2727,34.662602,65092,0.1086625,575,품질 기준 통과,2727,2372,65092,2,835,64255,355
embedded_context_1_hidden,embedded_context,embedded,1,hidden,False,False,1,False,False,True,False,False,False,False,141.425106,140.61120000000003,134.904,560.808,4891,63.278665999999994,63063,0.39828500000000006,899,"요구한 본문·행·보존 조건과 결과가 다릅니다. 수정 검토 자료를 준비해 줘. review_locations.json에는 파일·줄번호·state·priority 열이 있다. state=open, priority>=3인 위치를 파일명 오름차순으로 정렬한 앞 세 곳의 지정 줄부터 5줄씩 본문을 수집해서 outputs/snippets.json에 저장해 줘. 각 결과에는 파일·줄번호·본문이 필요하고 읽을 수 없는 곳은 위치와 오류를 남긴다. 별도로 state=closed인 원래 행 전부를 파일명 오름차순으로 outputs/closed.json에 저장해 줘. 입력 파일은 변경하지 마.",10904,9438,130798,4,6344,124450,1466
embedded_context_2_exposed,embedded_context,embedded,2,exposed,True,True,0,True,True,True,True,True,True,True,21.023991000000002,20.618226,18.101,283.64,1501,20.618226,65094,0.0780325,510,품질 기준 통과,1501,1173,65094,2,837,64255,328
embedded_context_2_hidden,embedded_context,embedded,2,hidden,False,False,1,False,False,True,False,False,False,False,205.35264,204.545549,199.792,561.883,9730,148.83210699999998,63066,0.47645000000000004,1509,"요구한 본문·행·보존 조건과 결과가 다릅니다. 수정 검토 자료를 준비해 줘. review_locations.json에는 파일·줄번호·state·priority 열이 있다. state=open, priority>=3인 위치를 파일명 오름차순으로 정렬한 앞 세 곳의 지정 줄부터 5줄씩 본문을 수집해서 outputs/snippets.json에 저장해 줘. 각 결과에는 파일·줄번호·본문이 필요하고 읽을 수 없는 곳은 위치와 오류를 남긴다. 별도로 state=closed인 원래 행 전부를 파일명 오름차순으로 outputs/closed.json에 저장해 줘. 입력 파일은 변경하지 마.",13969,12329,130952,4,6498,124450,1640
embedded_latest_0_exposed,embedded_latest,embedded,0,exposed,True,True,0,True,True,True,True,True,True,True,27.804252,27.392529999999997,23.239,282.447,1852,27.392529999999997,65054,0.69683,342,품질 기준 통과,1852,1617,65054,2,65052,0,235
embedded_latest_0_hidden,embedded_latest,embedded,0,hidden,False,False,1,False,False,True,False,False,False,False,120.42297500000001,119.56041,105.656,562.5,2590,43.77492899999999,63022,0.9204275000000002,508,"요구한 본문·행·보존 조건과 결과가 다릅니다. 인수인계 자료 두 개를 준비해 줘. drafts/*.md 네 문서 중 수정시각이 가장 최근인 문서의 11~22줄을 outputs/excerpt.txt에 저장하고, queue.json에서 state가 open이고 priority가 3 이상인 항목을 id 오름차순으로 outputs/pending.json에 저장해 줘. 문서들은 모두 80줄이고 수정시각 동률은 없다. JSON은 원래 행의 모든 필드를 보존한다. 입력 파일은 변경하지 마.",8325,7497,130346,4,68117,62225,828
embedded_latest_1_exposed,embedded_latest,embedded,1,exposed,True,True,0,True,True,True,True,True,True,True,29.252575,28.799344,26.781,300.727,2215,28.799344,65057,0.0955125,413,품질 기준 통과,2215,1941,65057,2,800,64255,274
embedded_latest_1_hidden,embedded_latest,embedded,1,hidden,False,False,1,False,False,True,False,False,False,False,144.922426,144.376386,140.166,291.853,8487,101.83243399999999,63021,0.38190999999999997,1115,Expected artifact missing or invalid: FileNotFoundError: [Errno 2] No such file or directory: '/private/var/folders/dj/b53qswrj4wl6k23mmmnqhtyc0000gn/T/ibl_exposure_m9lgpb1i/outputs/excerpt.txt',11801,10561,126918,4,2464,124450,1240
embedded_latest_2_exposed,embedded_latest,embedded,2,exposed,True,True,0,True,True,True,True,True,True,True,32.468205999999995,32.005107,30.079,288.894,2559,32.005107,65049,0.1040325,532,품질 기준 통과,2559,2193,65049,2,792,64255,366
embedded_latest_2_hidden,embedded_latest,embedded,2,hidden,False,True,1,False,False,True,False,False,False,False,100.74049400000001,99.79152799999999,95.55,574.029,3707,46.055488,63023,0.319775,800,품질 기준 통과,7874,6727,130522,4,6068,124450,1147
embedded_ledger_0_exposed,embedded_ledger,embedded,0,exposed,True,True,0,True,True,True,True,True,True,True,22.320303,21.914472,20.072,278.233,1592,21.914472,65035,0.07971750000000001,621,품질 기준 통과,1592,1142,65035,2,778,64255,450
embedded_ledger_0_hidden,embedded_ledger,embedded,0,hidden,True,True,0,False,False,True,False,False,False,False,91.888921,91.456064,89.123,284.75,6692,91.456064,63002,0.2061725,601,품질 기준 통과,6692,6336,63002,2,775,62225,356
embedded_ledger_1_exposed,embedded_ledger,embedded,1,exposed,True,True,0,True,True,True,True,True,True,True,28.760877,28.354637,26.5,283.966,1921,28.354637,65032,0.0879125,566,품질 기준 통과,1921,1506,65032,2,775,64255,415
embedded_ledger_1_hidden,embedded_ledger,embedded,1,hidden,False,True,1,False,False,True,False,False,False,False,261.20895,260.400343,252.748,564.51,13104,173.965433,63002,0.61869,1223,품질 기준 통과,19807,18181,130581,4,6127,124450,1626
embedded_ledger_2_exposed,embedded_ledger,embedded,2,exposed,True,True,0,True,True,True,True,True,True,True,21.738057,21.337932000000002,19.41,278.53,1601,21.337932000000002,65031,0.0799025,414,품질 기준 통과,1601,1338,65031,2,774,64255,263
embedded_ledger_2_hidden,embedded_ledger,embedded,2,hidden,True,True,0,False,False,True,False,False,False,False,113.896326,113.490026,111.183,284.192,8332,113.490026,63005,0.24720250000000005,711,품질 기준 통과,8332,7869,63005,2,778,62225,463
